name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Obella Sand,"Obella Sand is an unseen character in the fourth season. She is alluded to in ""First of His Name"".","Obella Sand is the sixth of the eight bastard daughters of Prince Oberyn Martell, known as the ""Sand Snakes"". Her mother is Oberyn's paramour, Ellaria Sand.","",4,"",Alive,"","",House Martell,Dornishmen,"","","",Oberyn Martell,Ellaria Sand,"","","Tyene Sand , Elia Sand , Dorea Sand , Loreza SandPaternal half-sisters:, Obara Sand, Nymeria Sand, Sarella Sand","","",Obella Sand,"","","","","","","","","","","","","","",House Martell
Night's Queen,"The Night's Queen is an unseen woman in Game of Thrones. She is a legendary figure known both in the Seven Kingdoms and among the Free Folk dwelling Beyond the Wall. She allegedly lived not long after the creation of the Night's Watch, some 8,000 years ago.","","","",Night's Queen,Deceased,Killed by Brandon Stark,"",White Walkers,White Walkers,"","","","","","","","",Night's King,http://vignette3.wikia.nocookie.net/gameofthrones/images/3/33/Night%27s_Queen.png/revision/latest?cb=20130416162702,Night's Queen,http://vignette2.wikia.nocookie.net/gameofthrones/images/c/cb/Night%27s_Queen_death.png,The death of the Night's Queen at the hands of Brandon the Breaker.,"","","","","","","","","","","","",""
Gawen Glover,"Gawen Glover is the son of Robett Glover and Sybelle Glover and the brother of Erena Glover. Following the Ironborn capture of Deepwood Motte, he, his mother, and sister are thrown into prison by the Ironborn. Due to King Robb Stark's failure to come to the aid of House Glover, Robett refuses to assist Robb's half-brother Jon Snow and sister Sansa Stark's efforts to retake Winterfell from House Bolton, who had helped them drive out the Ironborn earlier.","","",6,"",Alive,"",Deepwood Motte,House Glover,Northmen,"","","",Robett Glover,Sybelle Glover,"","",Erena Glover,"","",Gawen Glover,"","","","","","","","","","","","","","",""
Jorah Mormont,"Ser Jorah Mormont is a major character in the first, second, third, fourth, fifth, sixth and seventh seasons. He is played by starring cast member Iain Glen, and debuts in the series premiere. Ser Jorah is an exiled Northern lord living in Essos. He has sworn fealty to his fellow exile Daenerys Targaryen and helps her adapt to life as a Khaleesi of the Dothraki.
Originally, Jorah was working as a spy for Varys, King Robert's spymaster in King's Landing, sending Varys information about the Targaryen exiles. But he grows to respect and admire Daenerys and begins serving her in earnest. He saves her from an assassination attempt, stops sending reports to Varys and ignores an official royal pardon which would allow him to return home to Westeros. He develops strong and unrequited feelings for her.
When Daenerys learns of his past spying, he is dismissed from her service and ordered to leave her presence. He later captures Tyrion Lannister in the hope of winning his way back to her, an endeavor that leads to him contracting the deadly greyscale. After he helps saving her life from both the Sons of the Harpy and the Dothraki, Daenerys accepts him back to her service, and orders him to come back to her after he finds a cure to his disease.","Jorah Mormont is the son of Jeor Mormont of House Mormont, the Lords of Bear Island and vassals of House Stark in the North. Jorah had a distinguished early career, and participating in the Siege of Pyke during the Greyjoy Rebellion, for which he was knighted by King Robert Baratheon. His father later voluntarily joined the Night's Watch, leaving Jorah as Lord of Bear Island and head of House Mormont.
Jorah married Lynesse Hightower, but his new wife had expensive tastes that Jorah struggled to fund. Ultimately, he resorted to selling poachers into slavery, which has been illegal in the Seven Kingdoms for millennia and is a great taboo throughout Westeros. Jorah was caught and disgraced. He was stripped of his Lordship and fled to the Free Cities to avoid being executed by Eddard Stark. He served in mercenary companies such as the Golden Company. His wife eventually left him for another, richer man.
He is called Jorah the Andal by the Dothraki, as they assume that all people from Westeros are Andals. However, Jorah is actually a Northman, descended from the First Men.
Besides the Common Tongue of Westeros, Ser Jorah is fluent in the Dothraki language.","Jorah is a complex character, as he is Daenerys Targaryen's most loyal advisor and a formidable warrior. Jorah has a deep respect, loyalty and love for Daenerys, and has always tried to give her reasonable, practical, and effective advice. While Jorah is a moral person and always tries to be honorable, he has done several dishonorable acts out of love or for his own survival. He sold poachers into slavery to pay for his wife's spending habits, fled Westeros to escape execution, and briefly spied on Daenerys in the hope of receiving a royal pardon, though he stopped spying on her after becoming her advisor. Jorah is Daenerys' most level-headed advisor, at least until the arrival of Barristan Selmy.
Jorah is intelligent, literate and well travelled, knowing the histories of Essos and speaking several tongues, including Dothraki.
His relationship with his father, and likely the rest of his Mormont family, wasn't approached until the fifth season - although he never showed any feelings towards Jeor, once he was given the news about his death, Jorah was visibly shaken and deeply upset, even angrily demanding to know the details of his father's death. This is most likely because he was still feeling guilty about bringing his family shame and never fully reconciling with Jeor.
Although stoic, short-spoken and sometimes cold, Jorah does have the ability to warm up to people once they earn his respect - at first he treated Tyrion like a hostage, but later, after the two barely survived the sinking of their boat, he started to trust Tyrion enough to leave him untied and later the two men shared their life stories and freely discussed Daenerys and her claim to the throne, although their newfound trust was shattered when Tyrion convinced Daenerys to exile Jorah from Meereen again (which he did to spare him Daenerys's wrath).
He is also a skilled warrior, though he does have a honor code, and tries not to kill his opponent if such option is possible - this is shown in the fighting pit, where every other warrior was brutally slaughtering one another, but Jorah came victorious without any loss of life in his hands. This worked in his favor since he was aware that Daenerys was becoming increasingly appalled by the needless violence happening in the pit right before Jorah got into the skirmish. And even after using brute force to harm another person, he does seem to try compensate for his actions, as he did give some money to a knocked out fisherman for his stolen boat.","1, 2, 3, 4, 5, 6, 7","Lord of Bear Island (formerly), Ser",Alive,"",Bear Island,"Queensguard, House Targaryen, Varys",Northmen,Old Gods of the Forest,Jeor Mormont,Maege Mormont,Jeor Mormont,"",Lynesse Hightower (separated),"","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/c/c1/Ser_Jorah_s6_main_new.jpg/revision/latest?cb=20160702233345,Jorah Mormont,http://vignette2.wikia.nocookie.net/gameofthrones/images/1/1f/Jorah_Pyke.png,Jorah fighting in the Siege of Pyke.,http://vignette1.wikia.nocookie.net/gameofthrones/images/1/17/Daenerys_1x03.png,Daenerys and Jorah Mormont in the Dothraki sea.,http://vignette3.wikia.nocookie.net/gameofthrones/images/1/1f/Jorah_and_Rakharo_1x03.jpg,Jorah and Rakharo debate combat techniques.,http://vignette3.wikia.nocookie.net/gameofthrones/images/5/56/Jorah_and_Viserys.jpg,Jorah warning Viserys.,http://vignette4.wikia.nocookie.net/gameofthrones/images/c/ca/Dany-jorah-market.png,Ser Jorah foils the assassination attempt of the Wineseller in the markets of Vaes Dothrak.,http://vignette1.wikia.nocookie.net/gameofthrones/images/6/66/Daenerys.png,Ser Jorah carries Daenerys to the tent.,http://vignette3.wikia.nocookie.net/gameofthrones/images/9/90/Jorah_%26_Daenerys_1x10.png,Jorah tries to prevent Daenerys from stepping onto the pyre.,House Targaryen
Rickard Morgryn,"Rickard Morgryn is a merchant lord working in King's Landing who appears in Game of Thrones: A Telltale Games Series. He is initially an ambassador for House Whitehill, negotiating a deal to sell ironwood to the crown. However, he is later pushed out of the deal by his partner, Andros.","Morgryn is known for being a dangerous man. He introduced Andros to Lord Ludd Whitehill, and is a well-known merchant in the ironwood business. He is also an eligible bachelor.","","",Lord,Alive,"","","House Whitehill, Himself","","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/3/35/TID_Morgryn_Displeased.png/revision/latest?cb=20151118060208,Rickard Morgryn,"","","","","","","","","","","","","","",""
Moro's bloodrider 2,"One of Moro's bloodriders is a minor character in the sixth season. He is portrayed by Junade Khan and appears first in the episode ""The Red Woman"".","","",6,Bloodrider,Deceased,Burned alive along with all the other bloodriders by Daenerys Targaryen,Dothraki Sea,Khal Moro,Dothraki,Great Stallion,"","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/9/97/601_Bloodrider_2.png/revision/latest?cb=20160504192801,Moro's bloodrider 2,"","","","","","","","","","","","","","",""
Dongo,"Dongo is a recurring character in the third and fourth seasons, and is played by guest star Ian Whyte. Dongo is a giant in the wildling army of Mance Rayder.","Dongo is one of the non-human race of giants who joined the Free Folk army assembled by Mance Rayder, the King-Beyond-the-Wall.","","3, 4","",Deceased,Shot in the back by a ballista during Battle of Castle Black,"",Free Folk,Giants,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/a/a3/Giant_S3.PNG/revision/latest?cb=20140604145849,Dongo,http://vignette2.wikia.nocookie.net/gameofthrones/images/b/bf/Giant_working_S3_Ep1.jpg,The giant in Mance Rayder's camp,http://vignette3.wikia.nocookie.net/gameofthrones/images/4/4b/Giant_with_his_bow.png,The giant takes aim with a massive bow.,http://vignette3.wikia.nocookie.net/gameofthrones/images/e/ed/Giant_%28Watchers_on_the_Wall%29.PNG/revision/latest/scale-to-width-down/100?cb=20160730065046,"",http://vignette2.wikia.nocookie.net/gameofthrones/images/8/89/Giant_%28The_Children%29.PNG/revision/latest/scale-to-width-down/180?cb=20140616070909,Dongo's dead body.,"","","","","","",""
Old woman,"An old woman is an unnamed recurring character in the fifth season. She is played by Stella McCusker and first appears in ""High Sparrow"".",She is among the lowborn people gathered to rebuild Winterfell.,"",5,"",Deceased,Flayed alive by Ramsay Bolton,"",House Stark,Northmen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/7/79/Old_Lady_at_Mount_Cailin.jpg/revision/latest?cb=20160716065719,Old woman,"","","","","","","","","","","","","","",House Stark
Allana Tyrell,Allana Tyrell is an unseen character in the third season. She is the cousin of Margaery Tyrell.,Allana is a member of House Tyrell.,"",3,"",Uncertain,"","",House Tyrell,Andal,"","","","","","","","","","",Allana Tyrell,"","","","","","","","","","","","","","",House Tyrell
King's Landing whore (Mother's Mercy),"The King's Landing whore is an unnamed minor character in the fifth season. She is played by guest star Kirsty Nicholls and only appears in ""Mother's Mercy.""","","",5,"",Alive,"",King's Landing,"","","","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/70/Kings_Landing_Whore_s5.jpg/revision/latest?cb=20160713074035,King's Landing whore (Mother's Mercy),"","","","","","","","","","","","","","",""
Lyman Beesbury,"Lord Lyman Beesbury is an unseen character in Game of Thrones. He is long dead before the start of the series, and thus is not expected to appear. Lyman Beesbury was the head of House Beesbury and a member of the Small Council prior to the Dance of the Dragons.","Lord Lyman was a member of the Small Council under Viserys I Targaryen. When King Viserys died and Ser Criston Cole of the Kingsguard plotted to crown Viserys's son instead of his daughter and designated heir, the aged Lord Lyman protested, prompting Ser Criston to kill him before eyes of the entire council.","","","Lord, Master of Coin",Deceased,Throat cut by Ser Criston Cole,Honeyholt,"House Targaryen, House Beesbury, Blacks",Andal,"",Daemon Targaryen (as Master of Coin),Tyland Lannister (as Master of Coin),"","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/72/Lyman_Beesbury.png/revision/latest?cb=20160726185314,Lyman Beesbury,http://vignette2.wikia.nocookie.net/gameofthrones/images/0/01/Green_council.png,"Criston Cole slits Lyman Beesbury's throat at the Small Council table itself, the very first blood shed in the Dance of the Dragons.","","","","","","","","","","","","",House Targaryen
Bianca,Bianca is a recurring character in the sixth season. She is an actress in Izembaro's Braavosi theater troupe. Bianca is played by Eline Powell.,"","",6,"",Alive,"",Braavos,Izembaro's troupe,Braavosi,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/d/d6/Bianca.png/revision/latest?cb=20160829160512,Bianca,"","","","","","","","","","","","","","",""
Vorkoy,"Vorkoy is an unidentified background character in the first season. He is a newly made Builder of the Night's Watch, of the same group of recruits as Jon Snow.","","",1,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Vorkoy,"","","","","","","","","","","","","","",""
Frances,"Frances is a recurring character in the sixth and seventh seasons. She is played by guest star Annette Hannah and first appears in ""Oathbreaker."" Frances is a dwarf. She was part of Varys's network of informants and spies, and she is now under the command of Qyburn.","","","6, 7","",Alive,"","","Varys, Qyburn","","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/b/b9/Frances_main.jpg/revision/latest?cb=20161215030116,Frances,"","","","","","","","","","","","","","",""
Old Nan,"Old Nan is a recurring character in the first season. She was played by Margaret John and debuts in ""Lord Snow."" Margaret John passed away on 2 February 2011, after the completion of filming for the first season. According to the writers the character passed away between the first and second season. Old Nan is an elderly servant at Winterfell, known for her storytelling.",Old Nan is an elderly woman living in Winterfell. She is a retired servant of House Stark known for her tale-telling abilities. She has entertained the children of Eddard and Catelyn with stories throughout their childhoods. Her great-grandson Hodor is a stable hand at the castle.,"","1, 6","",Deceased,"",Winterfell,House Stark,Northmen,"","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/f/f7/Old_Nan.jpg/revision/latest?cb=20160726064120,Old Nan,http://vignette3.wikia.nocookie.net/gameofthrones/images/a/a4/Game-of-thrones-young-hodor.jpg,Bran sees Old Nan and Hodor in a vision.,"","","","","","","","","","","","",House Stark
Aegon Blackfyre,"Aegon Blackfyre is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.","Aegon Blackfyre was the firstborn son of Daemon Blackfyre, a legitimized bastard son of King Aegon IV Targaryen and his cousin Daena Targaryen, by Serena Blackfyre. He had two brothers: Aemon, his twin, and Daemon II Blackfyre.","",1,"",Deceased,"","Red Keep, King's Landing",House Blackfyre,"","","","",Daemon Blackfyre,Serena Blackfyre,"","","Aemon Blackfyre (twin), Daemon II Blackfyre","",http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/History_and_Lineages_Blackfyre.jpg/revision/latest?cb=20160804235246,Aegon Blackfyre,"","","","","","","","","","","","","","",""
Duncan the Tall,Ser Duncan the Tall is an unseen character in Game of Thrones. He is long deceased when the events of the series begin. Duncan the Tall is a legendary knight and the subject of several popular songs and stories.,"Ser Duncan the Tall was a great knight in the history of Westeros, a famous warrior and a great friend to King Aegon V Targaryen. He lived roughly between 40 and 105 years before the events of the series, and was Lord Commander of the Kingsguard when Ser Barristan Selmy started his rise to prominence. He is immortalized in many songs and stories.
His personal sigil, seen in his entry in the The Book of Brothers, was a shooting star over an elm tree proper, on a sunset orange background.
His adventures began during the tourney at Ashford, which led to him fighting in a trial by combat against Prince Aerion ""Brightflame"" Targaryen. Aerion demanded a rare trial by seven - a seven man team led by Duncan against a seven man team led by Aerion, considered very dangerous, but Duncan won the day. This indirectly led to the death of the Prince of Dragonstone, Baelor ""Breakspear"" Targaryen, from a concussion dealt by an accidental blow from his own brother Prince Maekar Targaryen, who was also Aerion's father, during the Trial by Seven of Duncan the Tall. At the end of the incident, the grieved Maekar agreed to let his youngest son, Prince Aegon (commonly called ""Egg"") become Duncan's squire, and join him in his journeys across Westeros.","","1, 4","Ser, Lord Commander of the Kingsguard",Deceased,"259 AL, Perished in the Tragedy at Summerhall","Flea Bottom, King's Landing","House Targaryen, Kingsguard","","","",Gerold Hightower,"","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/a/a1/Dunk_the_Lunk.png/revision/latest?cb=20150217114457,Duncan the Tall,"","","","","","","","","","","","","","",House Targaryen
Gordo,"Gordo is an unidentified background character in the first season. He is a newly made Steward of the Night's Watch, of the same group of recruits as Jon Snow.","","",1,"",Alive,"","",Night's Watch,"","","","","","","","","","","",Gordo,"","","","","","","","","","","","","","",""
Unsullied 1 (Valar Dohaeris),An unidentified Unsullied is a minor character in the third season. He is played by Rhys Howells.,"","",3,"",Alive,"",Astapor,Unsullied,Ghiscari (Astapori),"","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/5/5d/Unsullied_1.jpg/revision/latest?cb=20130404102533,Unsullied 1 (Valar Dohaeris),"","","","","","","","","","","","","","",""
Moro's wife 2,"One of Moro's wives is a minor character in the sixth season. She is portrayed by Fola Evans-Akingbola and appeared first in the episode ""The Red Woman"".","","",6,Khaleesi,Alive,"",Dothraki Sea,Khal Moro,Dothraki,Great Stallion,"","","","",Khal Moro,"","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/8/85/601_Moro_Wife_2.png/revision/latest?cb=20160504192359,Moro's wife 2,http://vignette1.wikia.nocookie.net/gameofthrones/images/f/f8/The_Red_Woman_07.jpg,"With her husband, Khal Moro, and his other wife.","","","","","","","","","","","","",""
King's Landing baker,"A King's Landing baker is an unnamed minor character in the first season. He is played by guest star Edward Mercieca and only appears in ""Baelor.""","","",1,"",Alive,"","Street of Flour, Flea Bottom, King's Landing","","","","","","","","","","","","",King's Landing baker,"","","","","","","","","","","","","","",""
Mira Forrester,"Mira Forrester is the eldest daughter of Lord Gregor Forrester and his wife, Elissa Forrester. Known to put family first, Mira was sent to Highgarden to serve as Handmaiden to Lady Margaery Tyrell, which would later result in her being taken to the capital, King's Landing. She is one of the main playable characters in Game of Thrones: A Telltale Games Series.","Mira had always been fond of Ironrath, but Lady Forrester — wanting her eldest daughter to learn the ways of a southern court — arranged for Mira to serve as a handmaiden to Margaery Tyrell. To Mira’s great surprise, she enjoyed attending on Margaery at Highgarden, and followed her to King’s Landing with enthusiasm. Life in the capital has not been easy for Mira, as her straightforward Northern ways are often at odds with the subtleties of court life – but she also has more guile than she realizes.","","","",Determinant,"Beheaded for murder (player-, determined)",Ironrath,House Forrester,Northmen,"","","",Gregor Forrester,Elissa Forrester,"","","Rodrik Forrester , Asher Forrester , Ethan Forrester , Talia Forrester , Ryon ForresterBastard paternal half-siblings:, Josera Snow, Elsera Snow","",http://vignette2.wikia.nocookie.net/gameofthrones/images/6/67/TID_Mira_Unsure.png/revision/latest?cb=20151118060003,Mira Forrester,http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/TID_Morgryn%27s_Betrayal.png,Morgryn reveals his motives to Mira.,http://vignette3.wikia.nocookie.net/gameofthrones/images/6/68/TID_One_Last_Glance.png,"Mira, moments before her execution (player-determined).","","","","","","","","","","",""
Kitty Frey,"Kitty Frey is a minor character in the sixth season. She debuts in the episode ""Blood of My Blood"". She is the ninth wife of Lord Walder Frey.","After the death of his eighth wife Joyeuse Erenford at the Red Wedding, Walder Frey takes the young Kitty to wife. At the Red Wedding, Walder coldly refused to spare Robb Stark's life in exchange for Joyeuse, telling Catelyn Stark, who ultimately killed Joyeuse in response to Robb's death at the hands of Roose Bolton, he would find another.","",6,Lady,Alive,"","",House Frey,Andal,Faith of the Seven,"","","","",Walder Frey,"Stepchildren:, Stevron Frey , Lothar Frey , Olyvar Frey , Roslin Frey , Shirei Frey, Waldron Frey","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/a/aa/Walder-frey-ninth-wife-606_Bright.JPG/revision/latest?cb=20160717064513,Kitty Frey,"","","","","","","","","","","","","","",House Frey
Arya Stark,"Princess Arya Stark is a major character in the first, second, third, fourth, fifth, sixth and seventh seasons. She is played by starring cast member Maisie Williams, and debuts in the series premiere. Arya is the third child and second daughter of Lord Eddard Stark and his wife, Lady Catelyn Stark. She is later trained as a Faceless Man at the House of Black and White in Braavos.","Arya Stark is the youngest daughter and third child of Lady Catelyn and Lord Eddard Stark. Eddard was the head of House Stark and Lord Paramount of the North. The North is one of the constituent regions of the Seven Kingdoms and House Stark is one of the Great Houses of the realm. House Stark rules the region from their seat of Winterfell and Eddard also holds the title Lord of Winterfell. He is also the Warden of the North to King Robert Baratheon.
Arya was born and raised at Winterfell. She has an older sister, Sansa Stark. She also has an older brother, Robb, two younger brothers, Bran and Rickon and a ""bastard half-brother"", Jon Snow.
Arya rejects the notion that she must become a lady and marry for influence and power, instead she believes she can forge her own destiny. She is fascinated by warfare and training in the use of arms, and is bored by embroidery and other ""lady-like"" pursuits. She takes after her father and has a quarrelsome relationship with her sister Sansa, due to their contrasting interests and personalities. She is close to her ""half-brother"" Jon, who is also something of an outcast.","Arya is a fiercely independent child who is unconstrained by social expectations like gender roles, courtly virtues, class distinctions, and the expectations of her parents and siblings. A tomboy, she never aspired to be a ""proper lady"" as her older sister Sansa did. Before the series of events that shatter her innocence and destroy her support system, Arya is full of life, and she makes others smile just by virtue of her spirited indifference to rules. 
Once she begins the journey to King's Landing, however, she endures a constant stream of loss and trauma. As she watches her pet, sword instructor, friends, and family members taken from her one by one, she becomes increasingly detached towards murder and death. This is only exacerbated when she is captured by the Hound and is exposed to his fatalistic world view as they traverse the war-ravaged Riverlands, though the two develop a mutual reliance and almost grudging respect for each other. When she witnesses and learns of the betrayal and murder of her family at the Red Wedding, she becomes even more cold and driven to seek revenge on those who have wronged her and her family.
While she is initially horrified when she accidentally stabs the stableboy in King's Landing during the betrayal of her father and his men, by the time she and the Hound have fled the massacre at the Twins, she is able to kill without remorse and has accepted Syrio's belief that the only true god is Death. Following Yoren's advice to her before he died, she has taken to listing off the names of each person she intends to kill each night before she sleeps.
Arya can be a rather cold-blooded, slightly sadistic person at times, especially while confronting and killing those who are on her death list. Though she was initially apathetic but satisfied over killing Meryn Trant and Polliver, she did not attempt to hide her glee over slitting Walder Frey's throat. While she certainly possesses compassion and kindness, her time with The Hound and the Faceless Men have taught her to be ruthless to those who have wronged her and her family and has shown to be willing to use psychological mind games to worsen her enemies fate before killing them. Shown when she repeated every word Polliver said to Lommy before killing him in the same exact way with Needle; gouged the eyes of Ser Meryn before stabbing him repeatedly and butchering Lord Walder's sons before serving their corpses to their father inside of a pie.","1, 2, 3, 4, 5, 6, 7",Princess,Alive,"",Winterfell,"House Stark, Faceless Men",Northmen,"Old Gods of the Forest , Faith of the Seven , Many-Faced God (formerly)","","",Eddard Stark,Catelyn Tully,"","","Robb Stark, Sansa Stark, Bran Stark, Rickon StarkJon Snow (paternal cousin raised as bastard half-brother)","",http://vignette1.wikia.nocookie.net/gameofthrones/images/a/ad/Arya6x10.png/revision/latest?cb=20160629211505,Arya Stark,http://vignette4.wikia.nocookie.net/gameofthrones/images/0/09/Arya_History_and_Lore.png,"Arya as a little girl sitting with her mother, Catelyn.",http://vignette2.wikia.nocookie.net/gameofthrones/images/3/31/Nymeria-and-Arya-Stark-game-of-thrones-direwolves-26320407-498-280.jpg,Arya says goodbye to Nymeria.,http://vignette2.wikia.nocookie.net/gameofthrones/images/d/d9/Ned_and_Arya.jpg,Arya and her father at the Crossroads Inn.,http://vignette1.wikia.nocookie.net/gameofthrones/images/7/77/Arya%2C_Ned_and_Syrio_1x03.jpg,Syrio Forel trains Arya.,http://vignette4.wikia.nocookie.net/gameofthrones/images/6/61/Arya_1x09.png,Arya during her father's execution.,http://vignette4.wikia.nocookie.net/gameofthrones/images/d/dc/Arya.png,Arya defends herself with Needle.,http://vignette3.wikia.nocookie.net/gameofthrones/images/c/c6/Arya_and_Gendry_2x02.jpg,Arya and Gendry hide from the Goldcloaks.,House Stark
Ryger Rivers,"Ryger Rivers is a minor character in the first season. He is played by guest star Bryan McCaugherty and only appears in ""Baelor."" Ryger Rivers is a bastard son of Lord Walder Frey, the head of House Frey and Lord of the Crossing. The character's name is not given in ""Baelor"", but his dialogue matches that of the character Ryger Rivers in the novels.","","",1,"",Alive,"",The Twins,House Frey,Andal,"","","",Walder Frey,"","","","Stevron Frey - paternal half-brother , Lothar Frey - paternal half-brother , Olyvar Frey - paternal half-brother , Roslin Frey - paternal half-sister , Shirei Frey - paternal half-sister, Waldron Frey - paternal half-brother , Walder Rivers - bastard paternal half-brother","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/1e/Walder_Rivers.jpg/revision/latest?cb=20120315090609,Ryger Rivers,"","","","","","","","","","","","","","",House Frey
Marya Seaworth,Marya Seaworth is the wife of Ser Davos Seaworth and mother of Matthos Seaworth. She does not appear on-screen in the TV series.,"Davos saved up enough money through his smuggling to purchase a small plot of land. He then found a woman, Marya, kind enough to overlook his trade.Salladhor Saan attended their wedding feast. She gave him a son they named Matthos. Marya and Davos hoped that he would eventually save enough riches so he could quit smuggling.","","2, 3","",Alive,"","",House Seaworth,"","","","","","",Davos Seaworth,Matthos Seaworth,"","",http://vignette1.wikia.nocookie.net/gameofthrones/images/d/d9/Marya_seaworth.jpg/revision/latest?cb=20130301185958,Marya Seaworth,"","","","","","","","","","","","","","",""
Elissa Forrester,"Elissa Forrester, née Branfield, was the widow of Gregor Forrester and matriarch of House Forrester.","Elissa Forrester was born into House Branfield, a minor Southron house that was destroyed when the Targaryen dynasty fell. She had been married to Gregor for many years when Robert's Rebellion signaled her family's demise; yet she nonetheless felt conflicted between her father's loyalties and her husband's. In time, Elissa came to feel that Ironrath, and she embraced her role as the Forrester matriarch. She silently sworn that she'll never see her family destroyed again.
They had several children together: Rodrik, Asher and Mira. During her fourth pregnancy, she dreamed she would birth a daughter with a voice like summer rain. But as destiny would have it, she gave birth to a boy. The infant, Ethan, wailed for hours - until Lady Elissa entered a second labor, this time birthing a girl. She named the girl Talia, after her own mother, and from then on Ethan never cried again. She gave birth to one more son a few years later, Ryon.
Her son, Asher, later went into self-exile in Essos to stop a war being started over his love for Gwyn Whitehill. Lady Elissa wanted her eldest daughter - Mira - to learn the ways of a southern court, so arranged for her to serve as a handmaiden for Margaery Tyrell.","","",Lady,Deceased,"Knowingly poisoned by Talia Forrester in order to foil Ludd Whitehill or, Stabbed by Harys, (player-determined)","",House Forrester,"","","","",Lord Branfield,Talia Branfield,Gregor Forrester,"Rodrik Forrester , Asher Forrester , Mira Forrester , Ethan Forrester , Talia Forrester , Ryon Forrester ,",Malcolm Branfield,"",http://vignette1.wikia.nocookie.net/gameofthrones/images/7/73/TID_Elissa_Angry.png/revision/latest?cb=20151118010148,Elissa Forrester,"","","","","","","","","","","","","","",""
Orys Baratheon,"Orys Baratheon is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it starts. Orys Baratheon is the founder of House Baratheon.","Orys Baratheon is the founder of House Baratheon and is the distant ancestor of King Robert Baratheon and his brothers, Stannis and Renly.
During the War of Conquest, he was a commander in the army of Aegon the Conqueror, and was the Conqueror's bastard half-brother. When Aegon invaded Westeros, he sent Orys to seize Storm's End, the ancestral seat of the Storm Kings and capital of the Stormlands. Orys defeated the Storm King, Argilac the Arrogant, and took not only Storm's End but also his sigil (the black stag) and words (""Ours is the Fury""), as well as his daughter Argalia, and his sword, Torment, to cement his rule over the Stormlands. He became the first Lord Paramount of the Stormlands.","",1,"Hand of the King, Lord of Storm's End, Lord Paramount of the Stormlands",Deceased,"","","House Baratheon, House Targaryen","","","",Edmyn Tully (as Hand of the King),"","",Argalia Durrandon,"Mychal Baratheon, Theresa Baratheon, Ethelide Baratheon, Raymont Baratheon[1]","Trueborn half-siblings:, Aegon I Targaryen, Visenya Targaryen, Rhaenys Targaryen","",http://vignette2.wikia.nocookie.net/gameofthrones/images/7/7c/Orys_Baratheon.png/revision/latest?cb=20140220021152,Orys Baratheon,http://vignette3.wikia.nocookie.net/gameofthrones/images/c/c4/Orys_argalia.jpg,"Orys Baratheon took Argalia, daughter of the last Storm King, as his wife, to cement his rule over the Stormlands",http://vignette3.wikia.nocookie.net/gameofthrones/images/a/ae/House_Baratheon_lineage.jpg,The lineage of Orys Baratheon,"","","","","","","","","","",House Baratheon
Olyvar Frey,"Olyvar Frey is an unseen character in Game of Thrones. He is one of the many sons of Walder Frey, Lord of the Crossing, and was a squire to King Robb Stark.","","",1,"",Alive,"",The Twins,House Frey,Andal,"","","",Walder Frey,"Joyeuse Erenford (stepmother), Kitty Frey (stepmother)","","","Roslin Frey , Stevron Frey (paternal half-brother), Lothar Frey (paternal half-brother), Waldron Frey (paternal half-brother), Ryger Rivers (bastard paternal half-, brother), Black Walder Rivers (bastard paternal half-brother)","","",Olyvar Frey,"","","","","","","","","","","","","","",House Frey
Dwarf 4,"A dwarf is an unnamed minor character in the fourth season. He is played by guest star George Appleby and only appears in ""The Lion and the Rose"".","A dwarf, he makes a living by performing for other peoples' amusement.","",4,"",Alive,"","",For hire,"","","","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/6/67/Dwarf_Robb.png/revision/latest?cb=20140728032346,Dwarf 4,"","","","","","","","","","","","","","",""
